,Sport Identifier,Match Info,Outcome,Player Stat,Date
355,cQka7,AT&T Byron Nelson R1,iPePg,Fewer Strokes,5/11/23 8:23AM
356,cQka7,AT&T Byron Nelson R1,iPePg,Fewer Strokes,5/11/23 1:44PM
357,cQka7,AT&T Byron Nelson R1,ONP9m,Fewer Strokes,5/11/23 2:28PM
358,cQka7,AT&T Byron Nelson R1,iPePg,Fewer Strokes,5/11/23 8:34AM
359,cQka7,AT&T Byron Nelson R1,iPePg,Fewer Strokes,5/11/23 9:07AM
360,cQka7,AT&T Byron Nelson R1,iPePg,Fewer Strokes,5/11/23 1:55PM
361,cQka7,AT&T Byron Nelson R1,ONP9m,Fewer Strokes,5/11/23 1:55PM
362,cQka7,AT&T Byron Nelson R1,,Fewer Strokes,5/11/23 2:28PM
363,cQka7,AT&T Byron Nelson R1,ONP9m,Fewer Strokes,5/11/23 3:12PM
364,A81xn,DEN 118 vs PHX 102,iPePg,Pts + Rebs + Asts,5/09/23 10:10PM
365,A81xn,PHX 102 @ DEN 118,ONP9m,Rebounds,5/09/23 10:10PM
366,A81xn,LAA 1 vs HOU 3,iPePg,Hits + Runs + RBIs,5/09/23 9:38PM
367,cQka7,DP WT Korea - R1,iPePg,Fewer Strokes,4/26/23 6:00PM
368,cQka7,DP WT Korea - R1,iPePg,Fewer Strokes,4/26/23 6:00PM
369,cQka7,DP WT Korea - R1,,Fewer Strokes,4/26/23 6:00PM
370,cQka7,DP WT Korea - R1,ONP9m,Fewer Strokes,4/26/23 6:00PM
371,cQka7,DP WT Korea - R1,iPePg,Fewer Strokes,4/26/23 6:00PM
372,cQka7,DP WT Korea - R1,iPePg,Fewer Strokes,4/26/23 6:00PM
373,cQka7,DP WT Korea - R1,ONP9m,Fewer Strokes,4/26/23 6:00PM
374,cQka7,DP WT Korea - R1,,Fewer Strokes,4/26/23 6:00PM
375,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 8:56AM
376,cQka7,Mexico Open at... R1,,Fewer Strokes,4/27/23 1:50PM
377,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 3:07PM
378,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 9:18AM
379,cQka7,Mexico Open at... R1,iPePg,Fewer Strokes,4/27/23 9:18AM
380,cQka7,Mexico Open at... R1,iPePg,Fewer Strokes,4/27/23 10:24AM
381,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 10:13AM
382,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 2:23PM
383,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 8:45AM
384,cQka7,Mexico Open at... R1,iPePg,Fewer Strokes,4/27/23 9:07AM
385,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 10:35AM
386,cQka7,Mexico Open at... R1,,Fewer Strokes,4/27/23 2:34PM
387,cQka7,Mexico Open at... R1,ONP9m,Fewer Strokes,4/27/23 3:07PM
388,A81xn,BOS 3 vs FLA 4,iPePg,Shots,4/26/23 7:04PM
389,A81xn,FLA 4 @ BOS 3,iPePg,Shots,4/26/23 7:04PM
390,A81xn,BOS 3 vs FLA 4,ONP9m,Shots,4/26/23 7:04PM
391,A81xn,BOS 122 @ ATL 130,iPePg,Pts + Rebs + Asts,4/21/23 7:10PM
392,A81xn,BOS 122 @ ATL 130,ONP9m,Pts + Rebs + Asts,4/21/23 7:10PM
393,A81xn,DEN 120 @ MIN 111,iPePg,Points,4/21/23 9:40PM
