,Sport Identifier,Match Info,Outcome,Player Name,Player Stat
262,sspz8,CIN 2 vs MIL 0 - 6/05/23 7:10PM,NT6cP,Will Benson,Higher  - 0.5 Hits
263,J5xEz,DEN 108 vs MIA 111 - 6/04/23 8:10PM,,Jeff Green,Higher  - 9.0 Points
264,J5xEz,MIA 111 @ DEN 108 - 6/04/23 8:10PM,NT6cP,Max Strus,Higher  - 18.5 Points
265,J5xEz,DEN 108 vs MIA 111 - 6/04/23 8:10PM,NT6cP,Jamal Murray,Higher  - 6.5 Rebounds
266,J5xEz,MIA 111 @ DEN 108 - 6/04/23 8:10PM,o3o4E,Kevin Love,Higher  - 14.5 Pts + Rebs + Asts
267,J5xEz,DEN 108 vs MIA 111 - 6/04/23 8:10PM,NT6cP,Nikola Jokic,Lower  - 26.5 Points
268,J5xEz,MIA 111 @ DEN 108 - 6/04/23 8:10PM,NT6cP,Max Strus,Higher  - 27.0 Pts + Rebs + Asts
269,sspz8,IND 80 vs LV 84 - 6/04/23 4:00PM,o3o4E,NaLyssa Smith,Lower  - 14.5 Points
270,sspz8,LV 84 @ IND 80 - 6/04/23 4:00PM,o3o4E,Candace Parker,Lower  - 17.5 Points + Rebounds
271,sspz8,IND 80 vs LV 84 - 6/04/23 4:00PM,NT6cP,Kelsey Mitchell,Lower  - 17.5 Points
272,sspz8,LV 84 @ IND 80 - 6/04/23 4:00PM,o3o4E,Candace Parker,Lower  - 10.5 Points
273,sspz8,LV 84 @ IND 80 - 6/04/23 4:00PM,NT6cP,Chelsea Gray,Lower  - 12.5 Points
274,sspz8,IND 80 vs LV 84 - 6/04/23 4:00PM,NT6cP,Aliyah Boston,Higher  - 15.5 Points
275,sspz8,KC 2 vs COL 0 - 6/04/23 2:10PM,NT6cP,Jackie Bradley Jr.,Higher  - 0.5 Hits
276,sspz8,LV 84 @ IND 80 - 6/04/23 4:00PM,o3o4E,Jackie Young,Lower  - 19.5 Points
277,sspz8,LV 84 @ IND 80 - 6/04/23 4:00PM,NT6cP,A'ja Wilson,Lower  - 20.5 Points
278,sspz8,Alcaraz vs Musetti - 6/04/23 10:50AM,o3o4E,Carlos Alcaraz,Lower  - 14.5 Games lost
279,vuk2U,DEN 108 vs MIA 111 - 6/04/23 8:10PM,o3o4E,Nikola Jokic,Higher  - 27.5 Points
280,sspz8,Sonego vs Khachanov - 6/04/23 5:00AM,o3o4E,Karen Khachanov,Lower  - 19.0 Games lost
281,sspz8,ATL 87 vs LV 92 - 6/02/23 8:00PM,NT6cP,Cheyenne Parker,Lower  - 14.5 Points
282,sspz8,LV 92 @ ATL 87 - 6/02/23 8:00PM,NT6cP,Candace Parker,Lower  - 11.5 Points
283,sspz8,ATL 87 vs LV 92 - 6/02/23 8:00PM,o3o4E,Allisha Gray,Lower  - 16.5 Points
284,sspz8,LV 92 @ ATL 87 - 6/02/23 8:00PM,NT6cP,A'ja Wilson,Lower  - 20.5 Points
285,sspz8,CHI 76 vs NY 77 - 6/02/23 6:00PM,o3o4E,Courtney Williams,Lower  - 11.5 Points
286,sspz8,NY 77 @ CHI 76 - 6/02/23 6:00PM,o3o4E,Courtney Vandersloot,Lower  - 11.0 Points
287,sspz8,NY 77 @ CHI 76 - 6/02/23 6:00PM,o3o4E,Breanna Stewart,Lower  - 24.5 Points
288,sspz8,STL 5 @ PIT 7 - 6/02/23 7:05PM,NT6cP,Brendan Donovan,Higher  - 0.5 Singles
289,sspz8,PHI 7 @ WSH 8 - 6/02/23 7:05PM,NT6cP,Kyle Schwarber,Lower  - 1.5 Total Bases
290,sspz8,Stearns vs Kasatkina - 6/02/23 5:00AM,NT6cP,Daria Kasatkina,Higher  - 11.0 Games lost
291,sspz8,Pegula vs Mertens - 6/02/23 5:45AM,NT6cP,Jessica Pegula,Lower  - 10.5 Games lost
292,sspz8,Khachanov vs Kokkin… - 6/02/23 5:00AM,o3o4E,Karen Khachanov,Lower  - 17.5 Games lost
293,sspz8,Ofner vs Fognini - 6/02/23 8:45AM,NT6cP,Fabio Fognini,Lower  - 19.0 Games lost
294,sspz8,Djokovic vs Davidov… - 6/02/23 9:00AM,NT6cP,Novak Djokovic,Lower  - 12.5 Games lost
295,sspz8,MUN 1 @ MCI 2 - 6/03/23 10:00AM,,Marcus Rashford,Higher  - 2.0 Shots Attempted
296,sspz8,MCI 2 vs MUN 1 - 6/03/23 10:00AM,o3o4E,Ilkay Gundogan,Higher  - 1.5 Shots Attempted
297,sspz8,MCI 2 vs MUN 1 - 6/03/23 10:00AM,,Kevin De Bruyne,Higher  - 2.0 Shots Attempted
298,sspz8,FIO 3 @ SAS 1 - 6/02/23 2:30PM,NT6cP,Jonathan Ikone,Lower  - 1.5 Shots Attempted
299,sspz8,SAS 1 vs FIO 3 - 6/02/23 2:30PM,,Domenico Berardi,Lower  - 3.0 Shots Attempted
300,sspz8,CONN 89 @ MIN 84 - 6/01/23 8:00PM,o3o4E,Alyssa Thomas,Lower  - 11.0 Rebounds
301,sspz8,CONN 89 @ MIN 84 - 6/01/23 8:00PM,NT6cP,Tiffany Hayes,Higher  - 14.0 Points
302,sspz8,FIO 3 @ SAS 1 - 6/02/23 2:30PM,,Luka Jovic,Lower  - 2.0 Shots Attempted
303,sspz8,MIN 84 vs CONN 89 - 6/01/23 8:00PM,o3o4E,Kayla McBride,Lower  - 13.5 Points
